start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,GBPUSD,38,-6,20,0,1,0.0,-30.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,38,-6,20,3,1,75.0,-30.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURUSD,38,-6,20,0,1,0.0,-30.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-6,20,4,3,57.14,-30.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURUSD,38,-6,20,0,1,0.0,-30.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,38,-6,20,1,0,100.0,-30.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-6,20,0,1,0.0,-30.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-6,20,4,3,57.14,-30.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,EURUSD,38,-6,20,0,1,0.0,-30.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,38,-6,20,0,1,0.0,-30.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,38,-6,20,1,0,100.0,-30.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-6,20,0,1,0.0,-30.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,38,-6,20,0,4,0.0,-30.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,AUDUSD,38,-4,10,1,0,100.0,-40.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,38,-4,10,4,3,57.14,-40.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,AUDUSD,38,-4,10,1,1,50.0,-40.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,38,-4,10,0,1,0.0,-40.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,GBPUSD,38,-4,10,0,1,0.0,-40.0
